Date,Open,High,Low,Close,Volume,Change
2023-09-01,188000,188900,186700,187400,281460,0.0064446831364124435
2023-09-04,186400,187400,185600,187300,307475,0.01024811218985966
2023-09-05,186500,186900,185600,186600,290618,-0.0005356186395286677
2023-09-06,186000,188300,186000,186700,259552,-0.005857294994675133
2023-09-07,185500,187200,185400,187200,299030,-0.01004759386567955
2023-09-08,187500,187500,185200,185700,192047,-0.009071504802561359
2023-09-11,185700,186300,184400,185500,195283,-0.009610250934329989
2023-09-12,186500,188400,185600,186200,273908,-0.002143622722400873
2023-09-13,187300,190700,187200,189800,579550,0.016604177825388255
2023-09-14,191200,191200,188600,190700,627998,0.01869658119658113
2023-09-15,190700,192700,189100,192200,526604,0.03500269251480881
2023-09-18,191200,192200,190200,191000,289943,0.029649595687331498
2023-09-19,191500,193200,190000,190000,289352,0.020408163265306145
2023-09-20,190600,196000,190000,194900,636780,0.02687038988408852
2023-09-21,194400,194500,191600,191900,327599,0.0062926061877293105
2023-09-22,189600,192400,189200,191500,326229,-0.0036420395421435936
2023-09-25,191700,193500,189600,192900,346374,0.009947643979057563
2023-09-26,191600,192900,189900,190700,302642,0.0036842105263157343
2023-09-27,189200,192400,189000,191100,367983,-0.01949717804002049
2023-10-04,188000,193200,187100,190800,641075,-0.005732152162584714
2023-10-05,190900,192200,189500,190500,396264,-0.005221932114882533
2023-10-06,191000,192600,189600,192200,345787,-0.003628823224468669
2023-10-10,192700,192800,187700,188400,575373,-0.012060828526481382
2023-10-11,189000,191400,189000,189400,490998,-0.008895866038723166
2023-10-12,189600,189800,187700,188000,451893,-0.014675052410901501
2023-10-13,187500,188400,187100,187100,254250,-0.01784776902887142
2023-10-16,186900,188300,186500,186800,291429,-0.02809573361082207
2023-10-17,188300,189300,187100,188500,423633,0.0005307855626326408
2023-10-18,190400,193000,189500,191800,532948,0.012671594508975703
2023-10-19,189900,190800,188800,188900,408555,0.004787234042553212
2023-10-20,187800,188600,183500,183500,602367,-0.019241047568145375
2023-10-23,184200,186100,183800,185400,286602,-0.00749464668094213
2023-10-24,186900,187000,181400,182800,418638,-0.03023872679045092
2023-10-25,182700,183700,182000,182000,374888,-0.051094890510948954
2023-10-26,180300,182500,178500,179500,651245,-0.049761778718898864
2023-10-27,181200,182900,174600,175600,787539,-0.04305177111716618
2023-10-30,175000,176300,171400,172500,726773,-0.06957928802588997
2023-10-31,174300,175900,169300,169700,697296,-0.0716630196936543
2023-11-01,170800,171500,169400,170300,450423,-0.06428571428571428
2023-11-02,172000,175100,171500,172000,661435,-0.04178272980501396
2023-11-03,175000,175400,172700,173400,431491,-0.01252847380410027
2023-11-06,175400,177900,174900,177900,661383,0.03130434782608704
2023-11-07,177500,177500,174200,176100,532443,0.037713612256923934
2023-11-08,177900,179000,174500,174800,395162,0.026423957721667612
2023-11-09,174700,175700,174200,174700,384071,0.01569767441860459
2023-11-10,173800,175300,173500,173700,255065,0.0017301038062282892
2023-11-13,175000,175000,172800,173300,348523,-0.025857223159078124
2023-11-14,174900,175900,173900,175200,329429,-0.005110732538330498
2023-11-15,178700,182600,178600,182500,806741,0.044050343249427915
2023-11-16,182500,186400,181800,184800,432174,0.05781339439038358
2023-11-17,185900,185900,183500,184400,259919,0.061600460564191106
2023-11-20,184400,184900,182100,183600,277906,0.05943450663589145
2023-11-21,184700,184800,183500,184200,252833,0.051369863013698724
2023-11-22,182300,183400,181200,183000,219027,0.00273972602739736
2023-11-23,183600,185000,182400,184800,240354,0.0
2023-11-24,184600,185600,183900,184000,161656,-0.002169197396963085
2023-11-27,184000,185700,184000,184900,188306,0.007080610021786393
2023-11-28,185900,185900,183600,185700,269820,0.008143322475570036
2023-11-29,185700,186500,184700,184800,298485,0.009836065573770592
2023-11-30,184200,184900,182100,184300,574490,-0.0027056277056276556
2023-12-01,183300,183800,181700,182800,304309,-0.006521739130434745
2023-12-04,183900,184100,181600,181600,378913,-0.017847485127095775
2023-12-05,181600,182000,180700,181400,275980,-0.023155627355950448
2023-12-06,181100,183400,181100,182900,280528,-0.010281385281385336
2023-12-07,181400,183300,181400,182600,296154,-0.009224091155724312
2023-12-08,183600,185700,183400,185100,327749,0.012582056892779026
2023-12-11,185400,185400,184000,185400,218073,0.020925110132158586
2023-12-12,185500,186400,185000,185600,332590,0.023153252480705655
2023-12-13,185300,186200,184400,185000,287425,0.011481683980317126
2023-12-14,187000,187100,184200,184800,760383,0.012048192771084265
2023-12-15,185800,192800,185200,192800,1228522,0.041599135602377046
2023-12-18,192800,193000,190000,192000,482331,0.03559870550161803
2023-12-19,191900,192900,190800,192200,272670,0.0355603448275863
2023-12-20,192700,199700,192600,199100,961888,0.07621621621621633
2023-12-21,197500,202000,197100,198700,545031,0.07521645021645029
2023-12-22,200000,200500,198500,199000,347866,0.032157676348547826
2023-12-26,200500,200500,197700,198800,409928,0.03541666666666665
2023-12-27,198700,199300,197200,198500,331186,0.03277835587929245
2023-12-28,198800,203500,198400,203500,766503,0.022099447513812098
2024-01-02,202000,202500,199800,200500,373050,0.00905888273779576
2024-01-03,199100,199500,193800,193800,548675,-0.026130653266331683
2024-01-04,192000,192800,189100,190000,505979,-0.044265593561368166
2024-01-05,190100,190500,187200,187300,440219,-0.05642317380352646
2024-01-08,187600,188900,185500,185700,323498,-0.0874692874692875
2024-01-09,187800,187800,185500,185600,349068,-0.07431421446384034
2024-01-10,185600,187300,185200,186700,330767,-0.0366357069143447
2024-01-11,187200,189000,187000,187000,538799,-0.015789473684210575
2024-01-12,186600,187400,185800,186000,240690,-0.006940736785905011
2024-01-15,186000,188600,185800,187500,251099,0.009693053311793154
2024-01-16,186600,188100,185700,186200,225780,0.003232758620689724
2024-01-17,186300,186400,181000,181800,481127,-0.026245313336904164
2024-01-18,180000,182500,179900,180200,433597,-0.036363636363636376
2024-01-19,183000,183000,180100,181700,288166,-0.02311827956989243
2024-01-22,182300,182400,179800,180100,391914,-0.03946666666666665
2024-01-23,181200,184800,180900,184800,376671,-0.007518796992481258
2024-01-24,185300,185400,182100,185000,345726,0.017601760176017667
2024-01-25,184400,190500,183500,188700,778658,0.04716981132075482
2024-01-26,189300,189600,186500,187300,468376,0.030820033021463855
2024-01-29,187300,197300,186600,195600,1199045,0.08606329816768454
2024-01-30,196000,196600,189300,190000,955999,0.02813852813852824
2024-01-31,189300,195400,188500,194600,1053355,0.051891891891891806
2024-02-01,193900,209000,193500,208000,2855056,0.10227874933757297
2024-02-02,221500,228000,214000,227000,5844398,0.211959423384944
2024-02-05,233500,239500,226000,238000,5742710,0.21676891615541916
2024-02-06,234000,240000,230500,235500,3293825,0.23947368421052628
2024-02-07,239000,246500,238000,245000,2711612,0.2589928057553956
2024-02-08,243000,250500,241500,250000,3017429,0.20192307692307687
2024-02-13,251000,261000,247500,249000,2690468,0.09691629955947145
2024-02-14,245000,251000,244500,245500,1702299,0.03151260504201692
2024-02-15,250000,250500,237000,240000,2103428,0.019108280254777066
2024-02-16,241500,253000,235500,252500,2261790,0.030612244897959107
2024-02-19,253500,257000,248500,252500,1801441,0.010000000000000009
2024-02-20,250000,253000,238500,242000,1944653,-0.028112449799196804
2024-02-21,242000,246000,237500,239500,1149137,-0.024439918533604943
2024-02-22,239000,245500,237500,243500,1475580,0.014583333333333393
2024-02-23,244000,249500,242000,244000,1660625,-0.03366336633663369
2024-02-26,237500,241000,231500,239000,1751340,-0.05346534653465351
2024-02-27,239000,244500,237500,238500,1265434,-0.01446280991735538
2024-02-28,234000,250000,231500,248000,1911431,0.035490605427974886
2024-02-29,246500,253500,243500,250500,2056620,0.028747433264887157
2024-03-04,255500,260000,253000,255500,1854280,0.04713114754098369
2024-03-05,251500,254500,247500,249000,1436614,0.04184100418410042
2024-03-06,247000,254000,246000,251000,1103072,0.052410901467505155
2024-03-07,252500,258000,247500,250000,988457,0.008064516129032251
2024-03-08,251500,255000,249500,253000,1210240,0.009980039920159722
2024-03-11,251000,252500,242000,243500,1178615,-0.046966731898238745
2024-03-12,244000,247000,240000,241500,1096802,-0.030120481927710885
2024-03-13,243500,250000,241000,248500,1413782,-0.009960159362549792
2024-03-14,248000,255000,246000,251500,1574794,0.006000000000000005
2024-03-15,250000,254500,243500,243500,1175933,-0.03754940711462451
2024-03-18,244000,247500,241000,242500,723835,-0.004106776180698102
2024-03-19,241000,244000,236000,237500,944727,-0.0165631469979296
2024-03-20,240000,246000,237500,241000,1230314,-0.030181086519114664
2024-03-21,247000,254000,246000,252000,1578378,0.001988071570576455
2024-03-22,252500,254000,241000,243500,1091572,0.0
2024-03-25,244000,245500,239500,239500,784822,-0.012371134020618513
2024-03-26,239000,244000,238500,240500,802094,0.012631578947368327
2024-03-27,241000,247500,240500,244000,818180,0.012448132780082943
2024-03-28,246000,246000,236000,237000,1050347,-0.059523809523809534
2024-03-29,238000,239000,232000,233000,852346,-0.043121149897330624
2024-04-01,234500,235000,227000,227500,898781,-0.050104384133611735
2024-04-02,225000,226500,216500,220000,1802613,-0.08523908523908519
2024-04-03,219000,223500,214500,216000,1138600,-0.11475409836065575
2024-04-04,218500,228500,216500,226000,1357330,-0.04641350210970463
2024-04-05,223500,230000,223000,225500,1121453,-0.03218884120171672
2024-04-08,227000,238000,226000,232500,1245057,0.0219780219780219
2024-04-09,234500,236500,228000,228000,663665,0.036363636363636376
2024-04-11,222000,241000,220000,241000,1853791,0.1157407407407407
2024-04-12,241000,241500,237000,238000,997710,0.053097345132743445
2024-04-15,236000,243000,233500,241500,1018783,0.07095343680709543
2024-04-16,239000,244500,236500,242000,1201766,0.04086021505376336
2024-04-17,242000,243000,233500,233500,1029202,0.02412280701754388
2024-04-18,237000,239000,228500,231000,1168222,-0.04149377593360992
2024-04-19,231000,237000,229000,235000,1174278,-0.012605042016806678
2024-04-22,240000,246000,239500,245000,1314974,0.01449275362318847
2024-04-23,250000,251500,246000,249500,1153091,0.030991735537190035
2024-04-24,249000,253500,247500,252500,1242059,0.0813704496788008
2024-04-25,251000,254000,246000,250000,1297404,0.08225108225108224
2024-04-26,250000,253500,243000,249500,980459,0.06170212765957439
2024-04-29,249000,254500,245500,251500,852780,0.026530612244898055
2024-04-30,250000,253000,248000,251000,545747,0.006012024048096087
2024-05-02,249000,251500,246500,249000,602350,-0.013861386138613874
2024-05-03,250000,250500,241000,241000,727057,-0.03600000000000003
2024-05-07,242500,246000,240000,242000,799659,-0.030060120240480992
2024-05-08,240500,244000,240000,242000,444082,-0.03777335984095431
2024-05-09,242000,242500,235000,237000,704379,-0.055776892430278835
2024-05-10,239000,243000,237000,241500,455541,-0.030120481927710885
2024-05-13,242500,247500,242000,245000,550255,0.016597510373443924
2024-05-14,245500,247000,243000,246500,670650,0.018595041322314154
2024-05-16,248000,248500,245500,247000,559548,0.02066115702479343
2024-05-17,247000,249500,244000,244000,408947,0.029535864978903037
2024-05-20,245500,255000,244500,250500,860566,0.037267080745341685
2024-05-21,249000,254000,248000,253000,576613,0.03265306122448974
2024-05-22,253000,277500,251000,277000,3336634,0.12373225152129819
2024-05-23,273500,275000,267500,271500,1886248,0.09919028340080982
2024-05-24,268500,274500,266000,267500,1059149,0.09631147540983598
2024-05-27,267500,271500,262000,265500,1011436,0.05988023952095811
2024-05-28,265000,270000,263500,265000,598743,0.04743083003952564
2024-05-29,262500,265000,257000,261000,965532,-0.0577617328519856
2024-05-30,260500,264000,255500,257000,640526,-0.05340699815837935
2024-05-31,259500,260000,253000,253000,1014549,-0.0542056074766355
2024-06-03,257500,270000,257000,265000,1186533,-0.0018832391713747842
2024-06-04,262500,265500,258000,259000,660409,-0.02264150943396226
2024-06-05,261000,267500,256500,264000,882084,0.011494252873563315
2024-06-07,262500,266500,261500,265000,519878,0.03112840466926059
2024-06-10,261500,271500,261000,267500,945927,0.05731225296442677
2024-06-11,270500,273500,267500,271000,967240,0.02264150943396226
2024-06-12,273000,273000,268000,270000,567334,0.042471042471042386
2024-06-13,273000,281000,269000,269000,1862106,0.018939393939394034
2024-06-14,268500,274000,267000,268000,778015,0.01132075471698113
2024-06-17,276000,285000,275500,278500,1945849,0.04112149532710285
2024-06-18,280500,290000,278500,283000,1667920,0.04428044280442811
2024-06-19,286500,292500,284000,286500,1228960,0.061111111111111116
2024-06-20,285500,288000,282500,285500,629996,0.0613382899628252
2024-06-21,283500,285000,279000,280000,876560,0.04477611940298498
2024-06-24,277000,283000,275500,281000,598019,0.008976660682226134
2024-06-25,281000,292500,280000,288500,1023261,0.019434628975264934
2024-06-26,289000,293500,286500,289500,694207,0.010471204188481575
2024-06-27,287000,298500,286500,298000,1157313,0.04378283712784592
2024-06-28,299500,299500,293000,295000,761453,0.0535714285714286
2024-07-01,292000,296000,285500,286000,864443,0.017793594306049876
2024-07-02,283000,283500,271000,272500,1558999,-0.0554592720970537
2024-07-03,275000,281500,272500,276000,1072157,-0.04663212435233166
2024-07-04,277500,281000,274500,277500,552767,-0.06879194630872487
2024-07-05,277500,282000,277000,281000,586121,-0.0474576271186441
2024-07-08,282000,289500,281000,283000,603805,-0.010489510489510523
2024-07-09,284000,285500,272500,274500,1135540,0.007339449541284404
2024-07-10,275000,277500,272500,274500,672155,-0.005434782608695676
2024-07-11,277000,278500,274500,278500,653458,0.003603603603603567
2024-07-12,277500,278500,268000,271500,666813,-0.03380782918149461
2024-07-15,273000,273500,267500,268500,541442,-0.051236749116607805
2024-07-16,270500,276000,270000,274500,552065,0.0
2024-07-17,275500,275500,268000,268500,512968,-0.021857923497267784
2024-07-18,267000,267500,256500,260500,1083373,-0.06463195691202872
2024-07-19,258500,259500,254000,258500,737904,-0.047882136279926324
2024-07-22,259000,261500,251000,255000,769457,-0.05027932960893855
2024-07-23,258000,264500,257500,263500,803042,-0.04007285974499086
2024-07-24,259500,263500,257500,258500,608412,-0.03724394785847296
2024-07-25,253000,255000,247500,251500,832753,-0.03454894433781186
2024-07-26,248500,250500,232000,243500,2662741,-0.05802707930367501
2024-07-29,244000,260000,243000,255500,1302271,0.0019607843137254832
2024-07-30,253000,258000,249500,250000,594899,-0.05123339658444026
2024-07-31,250000,253500,247500,249000,594919,-0.03675048355899424
2024-08-01,251000,258500,251000,253500,734315,0.007952286282306265
2024-08-02,242500,248000,242000,244000,889521,0.002053388090349051
2024-08-05,236000,239500,216500,224000,1465965,-0.12328767123287676
2024-08-06,233500,241500,228000,235000,1250180,-0.06000000000000005
2024-08-07,233000,241000,231500,236000,756779,-0.052208835341365445
2024-08-08,231500,240000,228500,236500,698685,-0.06706114398422092
2024-08-09,240500,248000,240000,243000,606967,-0.004098360655737654
2024-08-12,246000,249000,242000,243500,469844,0.0870535714285714
2024-08-13,242000,245500,240000,243000,358474,0.03404255319148941
2024-08-14,245500,248000,238500,241000,500276,0.021186440677966045
2024-08-16,248000,256500,246500,255000,1113073,0.07822410147991543
2024-08-19,256000,259500,250000,255000,739313,0.04938271604938271
2024-08-20,258000,261000,255000,256000,660818,0.05133470225872694
2024-08-21,257500,257500,251000,252500,359513,0.039094650205761416
2024-08-22,253500,254000,245500,248000,497250,0.029045643153526868
2024-08-23,245500,254000,245000,252500,449189,-0.009803921568627416
2024-08-26,255500,258000,247500,249500,469538,-0.021568627450980427
2024-08-27,248500,251000,244500,247500,555018,-0.033203125
2024-08-28,249500,261000,246000,259000,1170970,0.025742574257425765
2024-08-29,261500,267000,256000,258500,1646679,0.04233870967741926
2024-08-30,261000,265500,255500,255500,1206940,0.011881188118811892
